word,frequency
lowered,5
whining,1
itll,2
losing,2
gim,1
lunged,3
pinning,8
men,16
moreland,3
jar,2
tucks,1
medicated,1
pads,1
lomond,1
shpd,2
books,7
appest,1
sue,9
dehart,1
azt,1
falling,5
elizabeth,14
sidders,1
flats,17
suspectpect,1
sus,23
drxvino,1
relations,12
vicvtim,1
eichorn,2
eook,2
vestigated,9
victimconstance,1
cikik,1
livingston,2
cain,19
bf,30
redt,1
shirtblue,2
theresa,28
evans,26
dotson,4
carl,9
wh,2
early,32
ccmpl,1
wavy,2
ponytail,4
fall,13
steves,7
alive,4
guns,11
cunnilingus,6
eaaculated,1
quarter,5
glasses,21
meg,2
departmentrsp,1
liquors,1
cc,6
sufflemental,1
crimaleeschild,2
malejlhall,1
assignmaleent,1
peighan,1
cassandra,5
hinton,42
soc,3
sec,4
pm,29
olivet,8
hintib,1
tower,17
jason,27
joyner,3
informatick,1
powder,7
auto,53
scraggly,1
beard,34
piercing,1
hole,15
sleeved,1
skull,7
tattools,1
onabove,1
acid,1
circular,1
pock,1
threat,4
uncomfortable,8
io,1
vinyl,3
siding,8
agitated,10
coninued,1
obscene,2
statedments,1
thrust,1
ant,2
sweatpants,14
genitals,5
scratched,14
mid,12
site,6
buses,2
glenvill,1
wher,8
cmsd,1
cops,4
hintons,1
ellen,6
dale,21
hf,1
movies,5
yvonne,6
respite,3
diagnosed,3
bipolar,6
disorder,4
takes,9
trileptol,1
seizures,1
welbutrin,1
depressioh,1
zyprexia,1
psychosis,1
personreturned,2
frequently,6
runs,5
often,13
rena,1
massie,4
gail,8
crimesabuse,1
onconf,1
conwith,1
gallick,4
woodbridge,5
panty,12
hoseunderwear,1
citizen,4
appearance,7
convey,21
suspectssuspects,1
ab,3
withtinted,1
cutie,1
dirty,21
blkwhi,1
moped,1
parts,23
scattered,3
wrist,27
slapping,6
victis,1
breathed,1
walkin,1
aspect,1
notations,1
westenbangalihger,1
assignemnt,5
pine,2
tme,2
allowing,10
refusing,11
freeway,15
buckeyeast,4
noticing,6
comfortable,4
resign,2
fate,2
argued,9
restated,2
rectally,3
hurriedly,3
pitch,6
bother,5
dre,11
violent,17
dealing,3
lucasville,2
murder,10
truth,12
flashlight,4
joesuspect,2
policei,2
different,40
investigtive,2
kidnappingraperobbery,1
blondie,4
bars,5
westside,20
isnt,6
pemergency,3
roomform,1
kukula,7
vtl,1
rossoll,1
harlem,1
ny,2
secause,1
afternoon,14
trey,1
forrest,4
fought,18
verson,1
arresaint,13
zo,1
murphy,13
gannon,2
wa,8
merrycrest,2
diet,2
memebers,1
monica,2
fawley,1
repsectfully,1
peoples,4
eurlow,1
prsented,1
earliest,11
cleanupcleanupcleanupcleanup,15
omitted,7
operator,8
aspinwall,8
suspectect,4
destination,12
coit,14
convince,6
addr,3
unkn,9
pl,3
ignition,7
vcitim,9
pubic,7
retrieve,22
trunk,11
goodwrench,4
employees,20
suburban,12
unitwith,3
victimrobin,2
generals,8
testing,23
initiative,8
reassigned,4
apa,36
matters,5
accurinttlo,4
cch,13
hadden,2
twinsburg,5
hippa,3
tusing,3
blind,15
administrator,4
procedure,9
pointe,6
hoy,2
nakenya,2
garner,2
velvie,2
rates,2
rushleigh,2
leona,2
exwife,4
saranac,2
shaquita,8
great,6
considers,2
donor,2
fox,2
billed,2
dispositioncase,5
patrolling,3
jenny,4
friedel,3
brumfield,2
dvorak,3
housed,39
smity,9
pot,6
durgs,1
proposition,1
rapidly,1
position,32
hell,10
electricity,3
knock,15
carlin,3
violations,2
champion,4
vsdl,36
gargano,3
z,3
lasted,25
size,15
beverly,4
unfound,2
clearupcleanupcleanupcleanup,1
complaintunfound,2
complaintiiiunfound,1
complai,2
cthat,1
eastsidr,1
rouse,2
su,1
wilcox,2
insua,2
victimwitness,7
oats,2
rouowur,1
bg,1
gut,1
monroe,8
furth,6
roommate,17
kosman,1
karen,17
landline,50
dis,5
connected,79
rapekidnappingb,1
parkwoodamor,1
crabbed,1
iier,1
amle,1
admired,1
weight,22
malefemale,1
orders,5
control,13
condcut,1
sleepng,1
marting,1
asove,1
abandonedboarded,1
aunt,51
uheck,1
scharf,3
cpt,3
titlekidnappingrabeee,1
arrestclean,6
arrresten,1
representation,2
orally,23
arrangement,3
drvw,1
walland,3
pose,3
scharff,1
wind,14
routine,15
powell,21
married,9
separate,19
grocery,5
shopping,8
argument,25
ye,1
hoe,5
carver,5
kinds,3
bitches,10
goon,1
groin,9
chasing,12
elude,1
flag,2
listened,7
bernath,4
betley,4
victimelliss,1
suttonpowell,1
prosectj,1
tor,3
laster,5
kidnappingrapearrestexceptional,1
burglarykidnappingtheftrapeatt,1
purchasing,1
rocking,1
hunched,1
rad,5
ablackb,1
collecting,4
theblackb,2
homes,8
intent,5
robbing,2
walden,4
elderly,10
drank,24
swinging,3
whitner,1
relayed,14
sip,2
alhaddad,2
burotheftkidnaprapeattemptedrape,1
burgkidnaprapeatt,1
wantedcleanup,3
fieghan,1
att,2
ecpd,1
dept,23
wantedsuspect,11
holloway,1
talford,1
eyebr,1
sop,1
cri,1
mes,1
crimzscuzuo,1
qic,3
allstate,2
insurance,5
hudson,2
payment,1
loss,2
recoveries,1
policy,1
rpf,1
claims,18
fryman,1
corrupting,1
drugsname,1
juanita,29
villanueva,1
wed,19
class,7
toys,6
regained,4
slouched,1
infront,4
uspet,1
wipe,19
burger,8
tnlepuone,1
wilks,2
hy,1
fending,2
riedthaler,3
ruttsergeant,1
corruption,16
minorexceptional,1
krey,4
cle,1
deuce,1
oz,10
cans,4
bud,5
withsome,1
cust,1
witha,5
ars,1
emale,2
marck,1
snwpital,1
guests,2
nick,3
melanie,1
housemate,1
guest,3
closing,5
locking,3
skeleton,1
pustied,1
unclasped,1
bloodstained,1
brass,1
wglass,1
extension,2
cord,10
yanked,4
roomates,1
emptied,4
strewn,3
carlincann,1
sox,1
wpeesonal,1
cone,7
absoloutely,1
awake,7
finding,10
hairs,7
bedsheet,8
belonged,11
gersham,1
nancy,15
scbne,1
crimms,1
peggy,4
galjan,6
withrape,1
coon,2
tacoed,1
whileassigned,1
behnke,3
movie,11
sofa,20
preparing,3
awaken,18
feces,2
brandons,2
diaper,6
reacted,1
hurting,26
anywhere,22
buttocks,30
mullhall,1
durka,1
horvath,1
brnbrn,1
tattoo,14
calvin,6
arrestertan,1
emdoe,1
malewearing,1
pantsblack,1
braided,5
hairgrabbed,1
outhwaite,9
streetat,1
streetruck,2
victimn,1
groundsuspect,1
stomachvictim,1
mospregnant,1
aiming,2
timehe,1
magazine,3
displayed,5
nine,4
magazinesaint,1
streettspect,1
unwin,7
woodson,3
bfmale,1
adds,5
arealaterduring,1
hiding,18
interviewedwoodson,1
bicycle,20
timemembers,1
pantsblace,1
understoodbeard,1
distby,1
doctorbowen,1
de,3
transferred,19
mtsinai,2
pregnancymtsinai,1
revealsbrian,1
dci,10
andrioa,1
agianst,1
chura,15
al,45
lertje,1
frederick,2
blackwell,1
debara,1
teague,2
formerly,1
ofc,1
bauholf,1
opcs,1
garcia,5
ofcs,2
moutsos,2
britten,2
antonio,19
banks,12
omalley,10
opus,1
containing,30
unsecured,1
disrobe,4
willaims,1
cosgrove,1
augustine,4
church,38
handouts,1
wild,4
irish,2
rose,28
permitted,3
goa,10
lois,2
cocaineast,1
ii,6
warr,1
leftwich,2
dating,17
nome,2
pore,1
rue,2
papered,8
assrested,1
clevelands,1
gile,1
giles,2
tgifs,2
gown,12
playfully,1
nightgown,6
free,46
layed,25
fqr,2
balcony,4
curtain,5
reenter,1
automatically,3
locks,6
crawled,5
bang,1
toledo,3
akron,11
football,1
playgr,1
clun,1
vales,2
circle,8
fridays,1
todays,18
warts,1
program,9
oiap,1
linda,23
etd,1
phonepager,1
johnsons,3
hesitant,2
himjohnson,1
norreen,1
owen,1
moo,1
terrified,4
hopes,5
hips,3
rough,10
manipulating,1
pressure,5
points,4
teasing,2
torture,1
feb,8
student,16
summer,8
withmrs,2
amundsen,1
henighan,1
boeast,4
lamer,1
pediatric,9
tt,1
elm,1
wears,9
fade,7
style,11
mole,2
apfrox,1
ervin,5
jobs,3
penises,2
stairway,6
hea,1
nol,1
lunch,5
dinner,10
keeps,4
students,2
oober,1
bujnak,1
potts,5
wolf,1
costanza,1
cores,1
consti,1
tiqnal,1
legal,21
guardians,6
everybody,7
badge,19
rapearrestjuvenile,16
ng,2
insufficient,28
crimesdet,2
cleanupcleanupi,1
herthey,1
razor,8
pretty,7
hate,4
slack,2
bitchesthen,1
hose,8
highway,12
idea,12
officemergency,2
bowan,1
forceful,4
compusive,1
mooney,2
hasa,2
gibson,11
shruccinc,1
scarfs,1
arras,1
duration,1
estimates,1
beginning,12
mattress,43
furnished,4
unique,6
feature,3
recall,23
quietly,1
captive,2
nouse,1
remaining,7
deli,12
opp,2
evalynn,1
prone,3
galled,1
laquilla,2
catherine,8
tosaint,1
streetore,8
tenant,5
streeterband,1
awaiting,9
sneakemergency,1
streetanding,2
bundled,1
gerald,14
manchenny,1
oldest,3
pressing,4
penetate,1
vibrantly,1
thighs,15
romantic,1
drives,12
cavilier,1
puddin,1
pony,1
tail,1
halina,1
riot,1
wells,30
roseago,1
shiftradio,1
novemse,1
pict,1
mpvn,1
transport,13
detwheeler,1
qn,1
ferred,1
disturbed,7
attem,1
pt,4
considered,17
detgregory,1
ltlavelle,8
sylvia,3
deaf,4
mute,2
women,22
kilbane,17
zc,142
requests,4
samuel,8
detparker,8
evict,1
loc,5
nonconsentual,1
uncoope,1
rative,1
presently,9
brooklyn,13
occurance,10
menacing,9
stalking,2
crb,1
brookyark,1
parkbrooks,1
climaxed,7
tediman,1
local,17
mcdonalds,8
hosptial,7
constutitional,1
donald,13
stalla,2
previously,16
adjudicated,3
pleas,10
pled,9
guilty,8
sentenced,4
correctional,8
tanbrown,1
newer,8
dwayne,17
forcible,6
yale,6
higgins,12
lynette,1
wilsons,3
criss,2
eunice,8
ray,28
buford,4
utlbut,1
attic,5
brandon,18
whitehead,1
cloth,16
babysit,12
sons,13
unless,12
alieve,1
pills,9
huring,1
clock,12
steet,1
shoudl,1
asaid,1
dalie,1
anita,6
phillips,25
lynnette,1
wooster,7
isssued,1
harold,43
datetimelocation,3
falcon,1
bluegray,1
romalee,1
slight,8
pelt,2
jean,16
colfax,3
sluegray,1
wiuth,1
ropas,3
narcotic,5
cofc,8
caswell,14
victimtims,2
rung,3
roommated,1
debbie,5
crayton,1
informedme,1
meaningful,1
untill,10
heans,1
design,2
baseball,21
worn,12
unshaven,4
beady,1
nose,16
sped,8
wasnrt,1
rideapproximately,1
blcks,1
unpainted,1
houseside,1
sets,1
curtains,2
timne,1
girlfriendwoman,1
suspct,2
cluttered,1
throughout,19
shince,1
shevictim,1
timesdays,1
themthe,1
silver,28
eut,1
fenders,1
approxmately,1
horrible,1
shaving,1
superiora,1
doctorkundtz,1
meprobation,1
phyllis,2
shelte,1
wore,29
jonesge,1
wews,1
directions,23
reclined,4
privileged,1
reply,8
organism,2
pest,1
console,6
shifter,1
cal,5
aro,1
und,1
streetreet,8
sy,6
aeove,2
greg,8
bennett,7
muscle,6
wht,4
jogging,8
exactly,12
br,1
victimclara,1
bailey,7
vicim,4
suspectafter,1
resemblence,1
olds,20
burglarytheftrapenamed,1
witnesss,1
sf,2
janita,1
gossett,1
dos,1
mack,1
gl,1
discrepancy,2
oe,2
aggburgtheftrapenamed,1
aggpurgtheftrapearrestcleanup,1
eooper,1
manne,1
mak,1
carr,33
seawright,1
wren,1
housevictim,1
jump,12
withgrey,1
eecause,1
bringing,7
comon,1
button,11
apologize,3
kinsmanarrested,1
mame,1
disaint,5
streetrict,5
streeted,16
warning,6
pendimc,1
reguarding,1
galloway,1
tapped,3
messing,4
swept,1
whatever,4
lye,1
doonti,1
baggy,3
nautica,1
shows,11
burns,2
thinly,1
trimmed,1
usually,8
terrace,7
damion,1
glaser,2
albert,7
berry,8
sleanita,4
asre,1
graden,1
casmvtr,1
suspicious,8
buildings,9
os,1
slennell,1
vile,1
hid,12
footprints,3
guy,33
advantage,6
repolrt,1
reads,5
walshkqehl,1
cleaintupcleanupcleanufcleanup,1
reportscat,2
sound,7
painsville,3
correct,16
hadnt,6
clockradio,1
dutnisla,1
fields,1
purses,2
pipe,19
galvanized,1
defend,5
cinder,1
events,26
nervous,11
shaken,9
bedsheets,3
roberyarrestclean,1
smell,8
aspen,1
accordingly,46
fuckin,7
phones,6
familys,4
residences,2
patio,7
picnic,4
household,3
rapekidnappingaggravated,5
burglaryarrestclean,3
taster,2
hay,4
damon,7
larchmere,2
sundress,1
scrape,3
ascertain,5
marilyn,3
indicates,2
messed,5
kid,5
various,25
counselors,6
behavioral,5
straightened,1
lim,5
obgyn,2
cusaint,2
streetody,2
eastridge,3
requesaint,3
invesaint,3
streetigation,2
sane,11
stripper,1
alibi,2
rockwell,1
hired,1
lap,7
dances,3
instructions,1
gets,11
toldher,1
sunshine,2
stops,3
shse,1
donw,1
mayfield,5
oh,16
allan,1
secondary,14
sledge,8
contains,11
relevant,12
rec,19
required,15
cert,2
comp,6
pro,8
cooperateing,1
robberyrapekidnappingexceptional,1
clearence,7
charlie,18
mcneeley,13
linked,15
saraya,6
sophia,1
motehr,1
subpeona,5
subscriber,4
callno,4
files,9
mcginty,3
shawnee,1
elwell,1
vics,3
financial,2
velton,3
bedford,11
klubnick,1
route,23
bpd,2
standards,5
link,11
ystr,1
likely,3
edelheit,1
susp,38
remmington,1
visists,1
viist,1
prob,2
gj,5
novftf,2
int,27
porb,1
advisepo,1
asap,10
barnesunk,1
ingomar,2
homeowner,2
bh,1
adv,25
greens,1
respective,4
ups,3
robberykidnappingrapearrestclean,1
fri,11
assignement,5
homeast,4
maleade,4
performale,1
apprx,7
maleinutes,2
audubon,2
playground,7
susefct,1
orgasm,8
smacked,12
withid,1
opbenjamin,1
nursemichelle,1
wrestled,6
vignashwar,1
rt,4
huge,2
contusion,2
surrounding,17
amer,1
interstate,27
ex,30
browns,3
organinterstate,1
zation,1
interv,1
assaultname,1
suspectscleanup,1
vet,2
meld,1
cleanopcleanupcleanupwwcleantipcleanup,1
complain,3
pried,4
rang,15
dy,1
muleall,1
rapefelonious,19
spend,17
eed,1
ontop,5
totally,8
samantha,2
radlovic,1
findings,10
upsaint,2
streetairs,2
knowles,15
planagan,1
walkerpage,1
gerson,1
maurer,3
conversing,6
dc,5
resisting,23
burglaryrapearrest,2
correction,5
incorrectly,1
anthoney,1
bafey,1
crimalee,6
bridges,2
porky,1
death,3
threats,17
shepherd,1
intimidation,13
victimnamed,1
absue,1
titleaggravated,4
burglaryrapearrestclean,1
martinez,8
eatery,1
oldvictim,1
mitesh,1
patelmo,5
loggedentered,1
exhibited,1
daddy,9
boody,4
indicative,2
sharonda,3
sims,18
tier,1
bl,3
normal,14
babysitter,3
vil,6
goody,2
boodys,1
teaviewee,1
appartment,1
vils,1
mommy,8
hurts,5
immediate,6
arrestedmale,5
arrestedival,1
rp,71
maher,3
wise,4
jc,1
versusdl,1
dom,13
versus,3
dl,3
trap,1
coke,7
crimecrimes,1
disclosure,27
jasmine,1
dickerson,3
thereafter,17
pais,1
monique,6
bro,18
sparce,1
chin,5
browning,2
moniques,1
complaintreturned,1
lillian,1
titlerapenamed,4
chanced,2
titlerapecancel,2
mentionedjuvenile,1
mentionedcancelcancel,4
cancelborsie,1
dairy,9
mart,12
intkrcoursl,1
kisner,1
linen,1
senn,2
temp,17
tag,25
obstructed,1
hxd,1
concerning,17
narrativecase,2
chime,1
jimmy,7
hinkle,2
dry,5
dryer,5
jeannine,2
pettz,2
caseworker,10
although,16
sexaully,2
abused,4
whipkey,6
counsler,2
presntly,2
trial,4
defendant,11
rapeexceptional,13
pir,1
boston,3
massachusetts,1
realized,23
ticket,5
okey,1
thank,4
hanged,1
locker,12
lockers,1
richt,1
stall,12
blit,1
malev,1
rowbottom,2
hughes,10
hep,1
massachussrts,1
prince,3
daniel,40
debra,27
kandiko,1
richley,8
termaleaine,1
ntst,1
withprobation,6
marizewski,1
candys,1
patrons,2
cardinal,1
seperated,4
protesting,1
vemen,1
spill,1
reed,7
vane,1
freaking,1
backseat,27
enjoying,2
rome,1
harsh,1
language,3
basically,1
encounter,13
arresting,8
ig,1
habeer,1
jersey,4
calabrese,21
ronacci,1
abbyancepending,1
contribute,1
deliquency,7
minorname,1
citizens,5
effort,9
phylcia,1
todd,14
sheriffradio,1
ifnormation,1
phylicia,4
sherii,1
cherii,1
cerba,10
sheriis,1
tht,6
ourselfes,1
polic,1
eofficers,1
aksed,2
casked,1
phylicica,1
stuttering,1
wherethis,1
yeah,9
movement,6
adult,22
sherri,4
paties,2
extracted,3
ehere,1
agreeded,3
mable,1
respnd,1
daughers,1
desired,1
contributing,8
delinquency,3
unruliness,3
inacurately,1
readvised,1
smins,1
nfilnfi,1
lneast,1
il,4
notifies,1
ltvalaria,1
puritas,4
gunning,1
nap,3
uturn,2
activated,5
willoughby,2
weapoins,1
contraband,6
bb,9
fishing,1
filet,3
counsel,3
tommie,1
readvise,1
hitchhiking,1
toy,7
resumed,2
clse,1
sneak,5
iclimaic,1
luthern,4
pains,4
kuntz,1
embezzlement,1
bauer,5
enteredbb,1
knifearrested,1
kiddnappingrapecarrying,1
concelled,1
liv,2
sechi,2
boat,19
ron,7
aboard,2
unannounced,2
nad,3
slice,1
eoat,1
ner,1
neices,3
ec,1
intoxed,1
investiga,7
respones,1
hood,17
screams,3
dies,1
shock,5
eimer,1
partied,1
travelled,4
fleet,8
mare,3
interested,7
violating,2
disoriented,15
occurrenc,1
elisha,1
arson,5
flour,1
walls,5
burned,2
liquids,1
panchos,1
bolon,8
furgerson,1
fingerprints,9
robberies,1
sas,2
melrose,3
detectivessex,2
wounds,3
assaultkiddnabpingraee,1
melba,1
askes,2
wasz,1
quadron,2
easter,6
diamon,1
pavillion,1
distracted,2
shatter,2
bleed,7
rrmoved,1
perched,1
perfomr,1
simultanenously,1
durng,1
tomorrow,9
northeound,1
stattion,1
skoropys,15
rtjckgaber,1
onh,1
ganjutl,1
robbfel,1
saccanyofficer,4
cleantupexcepptional,1
enrolled,2
classroom,1
dk,1
understand,8
laughed,8
applied,2
advising,21
crawl,5
ostroske,3
dco,49
golstony,2
adivsed,2
zouhar,33
avenyue,1
flirting,1
rejected,1
grass,11
stroke,2
guardrail,1
davie,1
victimsd,1
lexington,6
guide,1
jafter,1
trailers,4
trailer,6
toned,1
initials,1
labeled,1
favors,2
sort,5
lubrication,2
nis,1
helped,17
unxn,1
hmales,1
pignolet,6
knights,4
wot,1
safekeeping,1
belle,3
laans,1
castlewood,3
damn,3
doctorhendricks,1
gation,1
rite,2
aid,5
regognizing,1
speeding,2
plymouth,1
strathmore,1
casey,1
cliffview,14
marginal,3
conrail,2
tarew,1
boox,1
tom,10
golden,5
stareet,1
perkins,4
hpan,1
obscenities,2
upn,2
broadcasaint,12
thrid,1
recast,1
johnsonc,12
freinds,1
feared,13
tare,3
slowly,3
prostitute,10
cmaleha,1
maleay,2
ben,5
calis,1
pother,1
puther,1
ea,4
purblex,1
approximate,5
unfamiliar,2
fellatio,13
psychiatric,11
addres,5
scrub,2
banged,1
tub,10
bell,20
ringing,6
billigerant,1
names,34
consensual,33
idd,4
seizure,1
eery,1
hcspsital,1
shake,3
blausee,1
igate,1
evidenc,3
reopen,2
timeplace,2
streetated,7
nervously,1
reportedly,5
train,16
uhaul,3
wallworth,4
dak,1
construction,5
tlie,1
hailing,1
cavett,2
pennington,6
gained,9
rak,1
gettings,2
grader,9
copies,12
kweati,1
khary,2
muhammad,2
kentucky,3
kwesti,1
baumilier,2
amaigned,1
ssex,2
emales,3
lozada,5
wayne,22
cole,13
recreation,19
lots,11
coinc,2
privates,8
wet,33
butthole,2
cuffs,10
javiel,2
sandra,8
collazo,2
stock,2
dialled,2
delezon,2
forgach,2
buttner,2
lisaint,5
material,4
aroused,2
nab,1
karleen,1
mccartney,4
entenok,2
perp,1
escaped,6
entertainment,2
rts,3
waivers,2
pac,1
pacx,1
hgts,1
norman,12
docked,4
sic,1
withvehicle,1
fortheft,1
recarreet,1
awol,3
jacquelyn,2
simons,1
spelling,5
simmonsa,1
kidnaprapegrand,2
vehiclefthefrecreationarrest,1
kidnaprapentmvfthefrecreationarrest,1
arrestedcleanup,2
recreationeived,1
cleanupcumupcumup,1
vehiclefor,1
theftrecovjarrestexceptional,1
attu,1
relate,6
edward,9
rules,4
gtmalev,1
advises,6
ajm,1
explain,7
joel,2
campbell,23
atra,1
atiu,1
december,23
arr,29
estates,9
volumteered,1
demand,8
acceptance,1
telphone,1
curry,5
nuti,2
riley,13
apprehended,14
houston,4
neans,1
belonging,15
including,26
six,16
medicaid,1
aivihan,1
gtmv,3
dv,11
italina,1
intox,8
waiver,2
crim,7
damendangering,1
unauthorized,3
pub,2
relatedactivity,1
vicitms,4
onthe,3
doris,5
sestak,2
schedulingin,1
rtckeya,1
baylen,10
steak,11
hathaway,2
statingdont,1
withme,2
coverdale,4
lack,14
ropeast,1
courts,43
officeast,1
rapearrestclean,8
upclem,1
aproximately,2
berlin,1
hampden,4
dillard,2
chopper,10
progress,4
fleeing,6
seast,1
mirandized,12
accused,11
originated,4
proclaimed,1
thompsons,3
passerby,3
jacksons,4
vaginia,1
trailed,1
taunting,1
conveyedbooked,2
ls,4
nike,4
treatedreleased,2
reischell,1
larson,4
retained,7
eir,1
eileen,3
lawyer,5
efforts,7
acquire,1
burgkidnappingrape,1
edroom,1
killed,9
tampax,1
betweeen,1
pounds,23
horton,19
unitworking,1
felons,1
chad,12
britton,2
scientist,1
laboratory,8
national,9
perez,10
careful,28
issuedinsufficient,1
expecting,3
rings,7
jewelry,10
puck,2
jelly,2
vigneshwar,2
maleteast,11
penetrationaggravated,1
pacts,5
maled,10
beacon,2
seeking,3
wrapped,23
bare,3
rammed,3
bowels,1
rfar,1
rummaged,1
eixted,1
diamond,6
dispat,1
cher,1
approximated,1
spilledscattered,1
closet,17
puddle,1
urine,12
frontnorth,1
coin,2
contain,3
chore,2
seized,23
ltmurrey,1
stanik,1
supsected,1
tamper,1
proof,2
srcar,1
conta,1
dub,1
jamalees,2
supplemaleental,1
conway,2
pres,1
ca,2
cleanupaclump,1
iasahalen,1
beauty,2
dave,19
hes,30
knopps,1
cockrell,2
tested,7
sheriffs,13
sheriff,15
collect,8
compound,1
chose,5
utterance,5
forwarding,18
wesson,5
sw,6
spl,1
mod,2
firedon,2
operable,2
ammunition,1
shots,15
kooser,1
visting,1
deanna,7
worth,3
stamp,4
choice,1
strange,12
rap,2
forever,2
leather,24
minyards,1
walgreens,1
hospial,4
westshore,1
withfather,1
outpatient,1
serenity,2
substance,7
addicted,1
crackcocaine,3
meeting,20
ages,7
katherine,1
linn,1
nuse,1
christie,1
wiedtkilbane,2
emery,8
mcnamara,1
bruising,7
tact,3
rfatly,1
weird,3
reratls,1
unusal,1
odors,1
scars,5
hardly,1
moustaches,1
sked,1
alike,3
tast,1
almaleost,1
mickey,3
mouse,2
aqua,1
withlt,5
sleeves,5
lentz,10
cornelius,5
ba,8
leon,10
marchman,1
burglaryrape,5
desmond,3
seconds,20
ricky,6
carlos,8
welcome,3
aloud,1
surrounded,2
eric,19
pretended,3
peeking,3
sudberry,3
imperial,1
suspicions,1
backup,1
wellinger,1
floyd,2
hernandez,1
hampton,29
separately,7
constitution,1
learning,14
claire,5
marengo,1
og,3
whore,7
burgrape,3
tutt,1
tarver,2
public,14
transpired,6
dicks,2
adults,8
recent,6
vcr,4
ailed,3
dwirght,1
hospitla,1
bur,9
glary,1
dention,1
pokorny,2
eon,2
iitvenile,1
janice,13
parent,26
reportperson,1
moms,8
mansuspect,1
eaten,2
gross,38
blackfemale,2
fs,1
uncles,7
yellowwhite,1
rubbing,32
rubbed,6
cropped,1
afro,8
eillfiger,1
boxer,19
redbluewhite,1
redyellow,1
hillfigger,1
hllfiger,1
furhter,6
writtengr,3
carolaine,1
amis,1
dec,5
mele,1
pman,1
manthey,1
beech,3
brookwhich,1
prevention,1
emotional,15
disturbance,3
victimmalissa,1
burris,2
brook,8
encoyed,1
counslers,1
formal,11
unconsentual,1
noticable,1
withdrawn,7
counseling,13
ahe,2
overpowered,4
fasteners,1
elastic,1
waistband,16
focibly,1
overcome,1
eventually,26
zets,1
ocurred,8
nsuspect,24
therefore,21
hereby,5
accosted,1
guided,2
intercorse,2
reinsettled,1
suepct,1
swiss,2
army,4
styled,2
brandishing,1
sneaker,1
shoe,27
heather,12
lynch,6
rapelkit,1
thenvictimceeded,1
sazima,4
ckimes,1
mooredco,3
witnessh,5
many,31
accessories,1
radier,1
scruffy,3
gp,1
aga,1
terd,1
chvic,1
kf,1
ast,2
cer,1
elevator,14
fl,7
stamper,2
exgirlfriend,2
refuses,5
cooper,15
kidnappingrapefelonious,18
assaultdrug,2
marijuanacontraband,1
seizedarrest,1
withptl,2
galarza,3
walter,13
greywhite,2
historical,1
gaged,4
caller,11
withon,2
star,5
taker,2
jenelle,1
katynski,15
avewest,1
placetrain,6
grasscurb,1
completely,29
withhandcuffs,1
withduct,1
tapeshoe,1
lace,1
withdoct,1
tapecloth,3
wagar,1
lacerationscontusions,1
buckle,1
schmidt,2
automobilefront,1
dons,1
lighthouse,1
lakeclifton,1
handcuffs,18
bedkitchen,1
tapedtied,1
string,1
gag,2
scar,6
circles,2
heart,3
surgery,4
restraints,1
impala,2
withe,1
whim,2
graywhite,2
withvctim,1
servicespolice,1
huff,6
demas,1
brill,5
ketterer,12
withk,1
witalis,3
trafric,1
lichman,1
bird,2
rebraca,1
crumley,1
tl,2
sam,8
holder,7
withhis,8
complained,11
eeadache,1
peck,1
durst,10
withmembers,1
grg,1
trucking,1
camerae,1
roof,4
captured,1
lang,5
surveillance,5
amber,1
mawchy,1
impound,11
econoline,1
vtu,1
marker,18
comforter,10
cooler,8
plaid,9
scraper,2
marksman,1
binoculars,1
taperoll,1
torn,20
handwriting,2
miscellaneous,17
iewelry,1
wallets,1
images,7
documented,2
latents,6
detdarren,2
contreband,1
mullins,1
warranti,1
synenberg,1
regards,20
vickie,4
frontroom,1
cuban,2
feloniously,1
mention,13
igs,2
gasiewski,1
repor,1
brooks,8
decara,7
robkidnaprapenamed,1
robkidrapecancel,1
pam,15
coworker,11
moes,3
lansing,4
len,1
wblue,1
stripes,5
comments,6
industrial,2
commercial,2
attacking,1
tits,2
isolated,1
trucks,1
attacks,1
slavic,1
bucket,2
possi,1
ble,1
dah,1
doh,2
elapsed,2
kenny,6
kilbur,2
browntan,1
prix,2
tatoos,3
attendant,5
rebound,2
banno,1
kilber,1
brotan,1
tattoos,5
addtl,23
lfans,2
nov,5
leans,1
myron,6
norvilles,1
activityvictim,1
grabs,1
tinued,1
stom,1
ach,1
laugh,2
hurst,1
tfu,1
rther,1
hospitalized,2
btelow,1
foce,1
cfx,1
kidnap,12
dairymart,1
generated,5
beatened,1
jayson,11
duss,3
word,9
inscribed,2
chek,1
mckeon,6
warrensville,17
lenier,1
cpolice,1
sivak,4
senior,2
hale,12
treating,9
seled,1
relesed,2
terry,10
dyer,13
improv,1
incomplete,6
merwin,1
rvb,1
shavened,2
suspt,3
balding,3
printed,5
lettering,4
gladstone,2
warrencvtije,1
contacting,12
nickname,12
duff,1
susepcts,3
malby,3
aslt,5
proves,1
batina,1
plues,1
stalked,2
alphonso,2
mcdonald,6
alias,7
yucks,1
buggsys,1
dancers,1
brad,2
elyria,2
daugert,1
jasmen,2
richardson,11
arethe,1
regal,1
travelling,4
immediatelly,1
recoginzed,1
kisnappingrape,1
clottler,1
perron,5
placedthetwomalesunderarresil,1
timerwealso,1
identifies,2
denied,29
gorski,1
erika,10
batima,1
zip,1
blinders,4
showers,1
touched,35
picking,22
polite,2
renvart,2
fitzpalrack,1
